,Full Name,Born,Current Age,Bats,Bowls,Matches,Died
2101,Dean W Headley,27/01/1970,50 years 282 days,Right Handed,Right Arm Fast Medium,13 (1996-1999),
2146,Ashley F Giles,19/03/1973,47 years 230 days,Right Handed,Left Arm Orthodox,62 (1997-2005),
2013,Gregory Scott Blewett,29/10/1971,49 years 6 days,Right Handed,Right Arm Medium,32 (1995-1999),
2139,Darren S Lehmann,05/02/1970,50 years 273 days,Left Handed,Left Arm Orthodox,117 (1996-2005),
2750,Shane Lee,08/08/1973,47 years 88 days,Right Handed,Right Arm Medium,45 (1995-2001),
0897,Brendon P Julian,10/08/1970,50 years 86 days,Right Handed,Left Arm Fast Medium,25 (1993-1999),
2140,Adam C Dale,30/12/1968,51 years 310 days,Left Handed,Right Arm Medium,30 (1997-2000),
2228,Marcus E Trescothick,25/12/1975,44 years 315 days,Left Handed,Right Arm Medium,123 (2000-2006),
2057,Ronald C Irani,26/10/1971,49 years 9 days,Right Handed,Right Arm Medium Fast,31 (1996-2003),
3045,Ian D Blackwell,10/06/1978,42 years 147 days,Left Handed,Left Arm Orthodox,34 (2002-2006),
2974,Owais A Shah,22/10/1978,42 years 13 days,Right Handed,Right Arm Off Break,71 (2001-2009),
1990,Craig White,16/12/1969,50 years 324 days,Right Handed,Right Arm Fast Medium,51 (1994-2003),
3064,Gareth J Batty,13/10/1977,43 years 22 days,Right Handed,Right Arm Off Break,10 (2002-2009),
0278,Andrew R Caddick,21/11/1968,51 years 349 days,Right Handed,Right Arm Fast Medium,54 (1993-2003),
2987,Robert J Kirtley,10/11/1975,44 years 360 days,Right Handed,Right Arm Fast Medium,11 (2001-2004),
2760,James P Maher,27/02/1974,46 years 251 days,Left Handed,Right Arm Medium,26 (1998-2003),
2200,Michael P Vaughan,29/10/1974,46 years 6 days,Right Handed,Right Arm Off Break,86 (2001-2007),
2973,Paul D Collingwood,26/05/1976,44 years 162 days,Right Handed,Right Arm Medium,197 (2001-2011),
3065,James M Anderson,30/07/1982,38 years 97 days,Left Handed,Right Arm Fast Medium,194 (2002-2015),
2224,Matthew J Hoggard,31/12/1976,43 years 309 days,Right Handed,Right Arm Fast Medium,26 (2001-2006),
3148,Andrew J Strauss,02/03/1977,43 years 247 days,Left Handed,Left Arm Medium,127 (2003-2011),
3207,Ian R Bell,11/04/1982,38 years 207 days,Right Handed,Right Arm Medium,161 (2004-2015),
3238,Kevin P Pietersen,27/06/1980,40 years 130 days,Right Handed,Right Arm Off Break,136 (2004-2013),
2148,Andrew Flintoff,06/12/1977,42 years 334 days,Right Handed,Right Arm Fast,141 (1999-2009),
3454,Paul A Nixon,21/10/1970,50 years 14 days,Left Handed,,19 (2007-2007),
3395,James W M Dalrymple,21/01/1981,39 years 288 days,Right Handed,Right Arm Off Break,27 (2006-2007),
3281,Johnathan Lewis,26/08/1975,45 years 70 days,Right Handed,Right Arm Medium,13 (2005-2007),
3350,Mudhsuden S Panesar,25/04/1982,38 years 193 days,Left Handed,Left Arm Orthodox,26 (2007-2007),
3456,Malachy B Loye,27/09/1972,48 years 38 days,Right Handed,Right Arm Off Break,7 (2007-2007),
3282,Christopher T Tremlett,02/09/1981,39 years 63 days,Right Handed,Right Arm Medium Fast,15 (2005-2011),
3331,Liam Edward Plunkett,06/04/1985,35 years 212 days,Right Handed,Right Arm Fast Medium,89 (2005-),
3460,Ravinda S Bopara,04/05/1985,35 years 184 days,Right Handed,Right Arm Medium,120 (2007-2015),
3179,Sajid I Mahmood,21/12/1981,38 years 319 days,Right Handed,Right Arm Medium Fast,26 (2004-2009),
3330,Bradley J Hodge,29/12/1974,45 years 311 days,Right Handed,Right Arm Off Break,25 (2005-2007),
3677,Steven M Davies,17/06/1986,34 years 140 days,Left Handed,,8 (2009-2011),
3693,Ian J L Trott,22/04/1981,39 years 196 days,Right Handed,Right Arm Medium,68 (2009-2013),
3435,Michael H Yardy,27/11/1980,39 years 343 days,Left Handed,Left Arm Orthodox,28 (2006-2011),
3396,Timothy T Bresnan,28/02/1985,35 years 250 days,Right Handed,Right Arm Medium Fast,85 (2006-2015),
2906,Graeme P Swann,24/03/1979,41 years 225 days,Right Handed,Right Arm Off Break,79 (2000-2013),
3765,Ajmal Shahzad,27/07/1985,35 years 100 days,Right Handed,Right Arm Medium Fast,11 (2010-2011),
3016,Nathan M Hauritz,18/10/1981,39 years 17 days,Right Handed,Right Arm Off Break,58 (2002-2011),
3631,Douglas E Bollinger,24/07/1981,39 years 103 days,Left Handed,Left Arm Fast Medium,39 (2009-2011),
3319,Shaun W Tait,22/02/1983,37 years 256 days,Right Handed,Right Arm Fast,35 (2007-2011),
3239,Matthew J Prior,26/02/1982,38 years 252 days,Right Handed,,68 (2004-2011),
3499,Luke J Wright,07/03/1985,35 years 242 days,Right Handed,Right Arm Medium,50 (2007-2014),
3775,Steven Thomas Finn,04/04/1989,31 years 214 days,Right Handed,Right Arm Fast Medium,69 (2011-2017),
3463,Adam C Voges,04/10/1979,41 years 31 days,Right Handed,Left Arm Orthodox,31 (2007-2013),
3625,Jason J Krejza,14/01/1983,37 years 295 days,Right Handed,Right Arm Off Break,8 (2011-2011),
3349,Alastair N Cook,25/12/1984,35 years 315 days,Left Handed,Right Arm Medium,92 (2006-2014),
4234,Gary S Ballance,22/11/1989,30 years 348 days,Left Handed,,16 (2013-2015),
4238,Christopher J Jordan,04/10/1988,32 years 31 days,Right Handed,Right Arm Fast Medium,34 (2013-),
3434,Stuart C J  Broad,24/06/1986,34 years 133 days,Left Handed,Right Arm Medium Fast,121 (2006-2016),
3772,James Cullum Tredwell,27/02/1982,38 years 251 days,Left Handed,Right Arm Off Break,45 (2010-2015),
3735,Clinton J McKay,22/02/1983,37 years 256 days,Right Handed,Right Arm Fast Medium,59 (2009-2014),
3884,James W A Taylor,06/01/1990,30 years 303 days,Right Handed,Right Arm Leg Break,27 (2011-2015),
4386,Travis M Head,29/12/1993,26 years 311 days,Left Handed,Right Arm Off Break,42 (2016-),
4383,Andrew James Tye,12/12/1986,33 years 328 days,Right Handed,Right Arm Medium Fast,7 (2018-),
4650,Jhye Avon Richardson,20/09/1996,24 years 45 days,Left Handed,Right Arm Fast,13 (2018-),
4325,Jason Jonathan Roy,21/07/1990,30 years 106 days,Right Handed,,93 (2015-),
3887,Alexander D Hales,03/01/1989,31 years 306 days,Right Handed,Right Arm Medium,70 (2014-),
4693,Thomas Kevin Curran,12/03/1995,25 years 237 days,Right Handed,Right Arm Fast Medium,24 (2017-),
4420,David J Willey,28/03/1990,30 years 221 days,Left Handed,Left Arm Fast Medium,49 (2015-),
4568,Jacob T Ball,14/03/1991,29 years 235 days,Right Handed,Right Arm Fast Medium,18 (2016-),
1669,Keith R Stackpole,10/07/1940,80 years 117 days,Right Handed,Right Arm Leg Break,6 (1971-1974),
1867,Graeme D Watson,08/03/1945,,Right Handed,Right Arm Medium Fast,2 (1972-1972),24/04/2020
1572,Andrew P Sheahan,30/09/1946,74 years 35 days,Right Handed,,3 (1972-1972),
1072,Ashley A Mallett,13/07/1945,75 years 114 days,Right Handed,Right Arm Off Break,9 (1971-1975),
1103,Robert A L Massie,14/04/1947,73 years 204 days,Left Handed,Right Arm Medium Fast,3 (1972-1972),
0068,Dennis Leslie Amiss,07/04/1943,77 years 211 days,Right Handed,Left Arm Medium,18 (1972-1977),
0337,D Brian Close,24/02/1931,,Left Handed,Right Arm Off Break/Right Arm Medium,3 (1972-1972),14/09/2015
0656,Anthony W Greig,06/10/1946,,Right Handed,Right Arm Medium Fast,22 (1972-1977),29/12/2012
1938,Robert A Woolmer,14/05/1948,,Right Handed,Right Arm Medium Fast,6 (1972-1976),18/03/2007
0092,Geoffrey G Arnold,03/09/1944,76 years 62 days,Right Handed,Right Arm Medium Fast,14 (1972-1975),
0695,Jeffrey R Hammond,19/04/1950,70 years 199 days,Right Handed,Right Arm Fast Medium,1 (1972-1972),
1927,Barry Wood,26/12/1942,77 years 314 days,Right Handed,Right Arm Medium,13 (1972-1982),
0732,Frank C Hayes,06/12/1946,73 years 334 days,Right Handed,,6 (1973-1975),
0439,Michael H Denness,01/12/1940,,Right Handed,Right Arm Off Break,12 (1973-1975),19/04/2013
0417,Ian C Davis,25/06/1953,67 years 132 days,Right Handed,,3 (1974-1977),
1555,Craig S Serjeant,01/11/1951,69 years 3 days,Right Handed,,3 (1977-1978),
1289,Kerry J O'Keeffe,25/11/1949,70 years 345 days,Right Handed,Right Arm Leg Break,2 (1977-1977),
1073,Michael F Malone,09/10/1950,70 years 26 days,Right Handed,Right Arm Medium Fast,10 (1977-1982),
0137,Graham D Barlow,26/03/1950,70 years 223 days,Left Handed,Right Arm Medium,6 (1976-1977),
0412,Warrick M Darling,01/05/1957,63 years 187 days,Right Handed,,18 (1978-1982),
0367,Garry J Cosier,25/04/1953,67 years 193 days,Right Handed,Right Arm Medium,9 (1975-1979),
1945,Kevin J Wright,27/12/1953,66 years 313 days,Right Handed,,5 (1979-1979),
0265,Alan R Butcher,07/01/1954,66 years 302 days,Left Handed,Left Arm Medium,1 (1980-1980),
0267,Roland O Butcher,14/10/1953,67 years 21 days,Right Handed,,3 (1980-1981),
0313,Trevor M Chappell,21/10/1952,68 years 14 days,Right Handed,Right Arm Medium,20 (1980-1983),
0921,Martin F Kent,23/11/1953,66 years 347 days,Right Handed,,5 (1981-1981),
0058,Paul J W Allott,14/09/1956,64 years 51 days,Right Handed,Right Arm Fast Medium,13 (1982-1985),
1498,Robert T Robinson,21/11/1958,61 years 349 days,Right Handed,Right Arm Medium,26 (1984-1988),
1366,Wayne B Phillips,01/03/1958,62 years 248 days,Left Handed,,48 (1982-1986),
0811,Mervyn Gregory Hughes,23/11/1961,58 years 347 days,Right Handed,Right Arm Fast,33 (1988-1993),
1461,Paul R Reiffel,19/04/1966,54 years 199 days,Right Handed,Right Arm Fast Medium,92 (1992-1999),
2024,Dominic G Cork,07/08/1971,49 years 89 days,Right Handed,Right Arm Fast Medium,32 (1992-2002),
0867,Paul W Jarvis,29/06/1965,55 years 128 days,Right Handed,Right Arm Fast Medium,16 (1988-1993),
2075,Matthew T G Elliott,28/09/1971,49 years 37 days,Left Handed,Left Arm Orthodox,1 (1997-1997),
0975,Justin L Langer,21/11/1970,49 years 349 days,Left Handed,Right Arm Medium,8 (1994-1997),
2642,Alistair D Brown,11/02/1970,50 years 267 days,Right Handed,Right Arm Off Break,16 (1996-2001),
2106,Ben C Hollioake,11/11/1977,,Right Handed,Right Arm Medium Fast,20 (1997-2002),22/03/2002
3165,Geraint O Jones,14/07/1976,44 years 113 days,Right Handed,,51 (2004-2014),
3037,Stephen J Harmison,23/10/1978,42 years 12 days,Right Handed,Right Arm Fast,58 (2002-2009),
3028,Simon P Jones,25/12/1978,41 years 315 days,Left Handed,Right Arm Fast Medium,8 (2004-2005),
2891,Vikram S Solanki,01/04/1976,44 years 217 days,Right Handed,Right Arm Off Break,51 (2000-2006),
2971,Ryan J Sidebottom,15/01/1978,42 years 294 days,Left Handed,Left Arm Fast Medium,25 (2001-2010),
3724,Joseph L Denly,16/03/1986,34 years 233 days,Right Handed,Right Arm Leg Break,16 (2009-2020),
3478,Adrian D Mascarenhas,30/10/1977,43 years 5 days,Right Handed,Right Arm Fast Medium,20 (2007-2009),
3618,Peter M Siddle,25/11/1984,35 years 345 days,Right Handed,Right Arm Fast Medium,20 (2009-2019),
3455,Benjamin William Hilfenhaus,15/03/1983,37 years 234 days,Right Handed,Right Arm Fast Medium,25 (2007-2012),
3638,Ryan James Harris,11/10/1979,41 years 24 days,Right Handed,Right Arm Fast Medium,21 (2009-2012),
3768,Craig Kieswetter,28/11/1987,32 years 342 days,Right Handed,,46 (2010-2013),
3938,Peter J Forrest,15/11/1985,34 years 355 days,Right Handed,Right Arm Medium,15 (2012-2012),
4233,Fawad Ahmed,05/02/1982,38 years 273 days,Right Handed,Right Arm Leg Break,3 (2013-2013),
3647,Phillip Joel Hughes,30/11/1988,,Left Handed,,25 (2013-2014),27/11/2014
4369,Joseph A Burns,06/09/1989,31 years 59 days,Right Handed,Right Arm Medium,6 (2015-2015),
4479,Reece J W Topley,21/02/1994,26 years 257 days,Right Handed,Left Arm Medium Fast,11 (2015-2020),
4224,Ashton C Agar,14/10/1993,27 years 21 days,Left Handed,Left Arm Orthodox,13 (2015-),
4201,Michael Gertges Neser,29/03/1990,30 years 220 days,Right Handed,Right Arm Medium,2 (2018-),
3996,Kane W Richardson,12/02/1991,29 years 266 days,Right Handed,Right Arm Fast Medium,25 (2013-),
4626,Billy Stanlake,04/11/1994,26 years 0 days,Left Handed,Right Arm Fast,7 (2017-),
4428,Samuel William Billings,15/06/1991,29 years 142 days,Right Handed,,21 (2015-),
3885,Nathan Michael Lyon,20/11/1987,32 years 350 days,Right Handed,Right Arm Off Break,29 (2012-),
4729,D'Arcy John Matthew Short,09/08/1990,30 years 87 days,Left Handed,Left Arm Orthodox,8 (2018-),
4705,Jason Paul Behrendorff,20/04/1990,30 years 198 days,Right Handed,Left Arm Fast Medium,11 (2019-),
4558,Peter Stephen Patrick Handscomb,26/04/1991,29 years 192 days,Right Handed,,22 (2017-),
4816,Marnus Labuschagne,22/06/1994,26 years 135 days,Right Handed,Right Arm Leg Break,10 (2020-2020),
4787,Samuel Matthew Curran,03/06/1998,22 years 154 days,Left Handed,Left Arm Medium Fast,5 (2018-),
1228,Martyn D Moxon,04/05/1960,60 years 184 days,Right Handed,Right Arm Medium,8 (1985-1988),
2935,Colin M Wells,03/03/1960,60 years 246 days,Right Handed,Right Arm Medium,2 (1985-1985),
0609,Norman Gifford,30/03/1940,80 years 219 days,Left Handed,Left Arm Orthodox,2 (1985-1985),
0116,Robert J Bailey,28/10/1963,57 years 7 days,Right Handed,Right Arm Off Break,4 (1985-1990),
0292,David J Capel,06/02/1963,,Right Handed,Right Arm Medium Fast,23 (1987-1990),02/09/2020
2182,Christopher Mark Wells Read,10/08/1978,42 years 86 days,Right Handed,,36 (2000-2006),
3676,Graham Onions,09/09/1982,38 years 56 days,Right Handed,Right Arm Medium Fast,4 (2009-2009),
0595,Sunil M Gavaskar,10/07/1949,71 years 117 days,Right Handed,,108 (1974-1987),
1813,Dillip B Vengsarkar,06/04/1956,64 years 212 days,Right Handed,Right Arm Medium,129 (1976-1991),
1666,Tirumalai E Srinivasan,26/10/1950,,Right Handed,Right Arm Leg Break,2 (1980-1981),06/12/2010
1822,Gundappa R Viswanath,12/02/1949,71 years 266 days,Right Handed,Right Arm Leg Break,25 (1974-1982),
0108,Kirtivardhan Azad,02/01/1959,61 years 307 days,Right Handed,Right Arm Off Break,25 (1980-1986),
1349,Sandeep M Patil,18/08/1956,64 years 78 days,Right Handed,Right Arm Medium,45 (1980-1986),
0443,Kapil Dev,06/01/1959,61 years 303 days,Right Handed,Right Arm Fast Medium,225 (1978-1994),
0944,Syed M H Kirmani,29/12/1949,70 years 311 days,Right Handed,,49 (1976-1986),
0181,Roger M H Binny,19/07/1955,65 years 108 days,Right Handed,Right Arm Medium Fast,72 (1980-1987),
0601,Karsan D Ghavri,28/02/1951,69 years 250 days,Left Handed,Left Arm Fast Medium,19 (1975-1981),
0462,Dilip R Doshi,22/12/1947,72 years 318 days,Left Handed,Left Arm Orthodox,15 (1980-1982),
1565,Yashpal Sharma,11/08/1954,66 years 85 days,Right Handed,Right Arm Medium,42 (1978-1985),
0319,Chetandra P S Chauhan,21/07/1947,,Right Handed,Right Arm Off Break,7 (1978-1981),16/08/2020
1610,Yograj Singh,25/03/1958,62 years 224 days,Right Handed,Right Arm Fast Medium,6 (1980-1981),
2701,Shaun F Graf,19/05/1957,63 years 169 days,Right Handed,Right Arm Fast Medium,11 (1980-1981),
0925,Robert B Kerr,16/06/1961,59 years 141 days,Right Handed,,4 (1985-1985),
2772,Rodney J McCurdy,30/12/1959,60 years 310 days,Right Handed,Right Arm Fast Medium,11 (1985-1985),
1664,Krishnamachari Srikkanth,21/12/1959,60 years 319 days,Right Handed,,146 (1981-1992),
0063,Mohinder Amarnath,24/09/1950,70 years 41 days,Right Handed,Right Arm Medium,85 (1975-1989),
0109,Mohammad Azharuddin,08/02/1963,57 years 270 days,Right Handed,Right Arm Medium,334 (1985-2000),
1570,Ravishankar J Shastri,27/05/1962,58 years 161 days,Right Handed,Left Arm Orthodox,150 (1981-1992),
1561,Chetan Sharma,03/01/1966,54 years 306 days,Right Handed,Right Arm Fast Medium,65 (1983-1994),
1949,Nandlal S Yadav,26/01/1957,63 years 283 days,Right Handed,Right Arm Off Break,7 (1986-1987),
0610,David R Gilbert,29/12/1960,59 years 311 days,Right Handed,Right Arm Fast Medium,14 (1986-1986),
1209,Kiran S More,04/09/1962,58 years 61 days,Right Handed,,94 (1984-1993),
1074,Sanjay Vijay Manjrekar,12/07/1965,55 years 115 days,Right Handed,Right Arm Off Break,74 (1988-1996),
1735,Sachin R Tendulkar,24/04/1973,47 years 194 days,Right Handed,Right Arm Medium,463 (1989-2012),
0069,Praveen K Amre,14/08/1968,52 years 82 days,Right Handed,,37 (1991-1994),
1392,Manoj M Prabhakar,15/04/1963,57 years 203 days,Right Handed,Right Arm Medium,130 (1984-1996),
0124,Subroto T Banerjee,13/02/1969,51 years 265 days,Right Handed,Right Arm Medium Fast,6 (1991-1992),
1665,Javagal Srinath,31/08/1969,51 years 65 days,Right Handed,Right Arm Fast Medium,229 (1991-2003),
1422,Sagi Lakshmi Venkatapathy Raju,09/07/1969,51 years 118 days,Right Handed,Left Arm Orthodox,53 (1990-1996),
1591,Navjot S Sidhu,20/10/1963,57 years 15 days,Right Handed,,136 (1987-1998),
1319,Chandrakant S Pandit,30/09/1961,59 years 35 days,Right Handed,,36 (1986-1992),
2003,Damien W Fleming,24/04/1970,50 years 194 days,Right Handed,Right Arm Fast Medium,88 (1994-2001),
2059,Sourav C Ganguly,08/07/1972,48 years 119 days,Left Handed,Right Arm Medium,311 (1992-2007),
2079,Vangipurappu Venkata Sai Laxman,01/11/1974,46 years 3 days,Right Handed,Right Arm Off Break,86 (1998-2006),
2060,Rahul Dravid,11/01/1973,47 years 298 days,Right Handed,Right Arm Off Break,344 (1996-2011),
2186,Devang J Gandhi,06/09/1971,49 years 59 days,Right Handed,Right Arm Medium,3 (1999-2000),
2158,Rabindra Ramanarayan Singh,14/09/1963,57 years 51 days,Left Handed,Right Arm Medium Fast,136 (1989-2001),
2670,Sameer S Dighe,08/10/1968,52 years 27 days,Right Handed,,23 (2000-2001),
0962,Anil  Kumble,17/10/1970,50 years 18 days,Right Handed,Right Arm Leg Break,271 (1990-2007),
2212,Nikhil Chopra,26/12/1973,46 years 314 days,Right Handed,Right Arm Off Break,39 (1998-2000),
2055,Bapu Krishnarao Venkatesh Prasad,05/08/1969,51 years 91 days,Right Handed,Right Arm Medium Fast,161 (1994-2001),
2126,Stuart C G MacGill,25/02/1971,49 years 253 days,Right Handed,Right Arm Leg Break,3 (2000-2000),
2204,Hrishikesh H Kanitkar,14/11/1974,45 years 356 days,Left Handed,Right Arm Off Break,34 (1997-2000),
2053,Sunil B Joshi,06/06/1969,51 years 151 days,Left Handed,Left Arm Orthodox,69 (1996-2001),
2159,Ajit B Agarkar,04/12/1977,42 years 336 days,Right Handed,Right Arm Fast Medium,191 (1998-2007),
2949,Yuvraj Singh,12/12/1981,38 years 328 days,Left Handed,Left Arm Medium,304 (2000-2017),
3159,Rohan S Gavaskar,20/02/1976,44 years 258 days,Left Handed,Left Arm Orthodox,11 (2004-2004),
2625,Hemang K Badani,14/11/1976,43 years 356 days,Left Handed,Left Arm Orthodox,40 (2000-2004),
3156,Irfan K Pathan,27/10/1984,36 years 8 days,Left Handed,Left Arm Medium Fast,120 (2004-2012),
3057,Lakshmipathy Balaji,27/09/1981,39 years 38 days,Right Handed,Right Arm Medium Fast,30 (2002-2009),
2168,Ashish Nehra,29/04/1979,41 years 189 days,Right Handed,Left Arm Fast Medium,120 (2001-2011),
2878,Virender Sehwag,20/10/1978,42 years 15 days,Right Handed,Right Arm Off Break,251 (1999-2013),
2209,Murali Kartik,11/09/1976,44 years 54 days,Left Handed,Left Arm Orthodox,37 (2002-2007),
3355,Robin V Uthappa,11/11/1985,34 years 359 days,Right Handed,Right Arm Medium,46 (2006-2015),
3107,Gautam Gambhir,14/10/1981,39 years 21 days,Left Handed,Right Arm Leg Break,147 (2003-2013),
2138,Harbhajan Singh,03/07/1980,40 years 124 days,Right Handed,Right Arm Off Break,236 (1998-2015),
3514,Praveenkumar Sakat Singh,02/10/1986,34 years 33 days,Right Handed,Right Arm Medium,68 (2007-2012),
3351,Piyush Pramod Chawla,24/12/1988,31 years 316 days,Left Handed,Right Arm Leg Break,25 (2007-2011),
3327,Shanthakumaran Sreesanth,06/02/1983,37 years 272 days,Right Handed,Right Arm Medium,53 (2005-2011),
3766,Daniel T Christian,04/05/1983,37 years 184 days,Right Handed,Right Arm Fast Medium,19 (2012-2014),
3832,Shikhar Dhawan,05/12/1985,34 years 335 days,Left Handed,,136 (2010-),
3889,Ajinkya M Rahane,06/06/1988,32 years 151 days,Right Handed,Right Arm Medium,90 (2011-),
3287,Suresh Kumar Raina,27/11/1986,33 years 343 days,Left Handed,Right Arm Off Break,226 (2005-2018),
4310,Axar Rajeshbhai Patel,20/01/1994,26 years 289 days,Left Handed,Left Arm Orthodox,38 (2014-2017),
3788,Ravichandran Ashwin,17/09/1986,34 years 48 days,Right Handed,Right Arm Off Break,111 (2010-2017),
3991,Bhuvneshwar Kumar,05/02/1990,30 years 273 days,Right Handed,Right Arm Medium,114 (2012-),
3786,Umeshkumar Tilak Yadav,25/10/1987,33 years 10 days,Right Handed,Right Arm Fast,75 (2010-),
3644,Ravindrasinh Anirudhsinh Jadeja,06/12/1988,31 years 334 days,Left Handed,Left Arm Orthodox,165 (2009-),
4083,Manish Krishnanand Pandey,10/09/1989,31 years 55 days,Right Handed,Right Arm Off Break,26 (2015-),
4512,Barinder B Sran,10/12/1992,27 years 330 days,Left Handed,Left Arm Medium,6 (2016-2016),
3470,Ishant Sharma,02/09/1988,32 years 63 days,Right Handed,Right Arm Fast Medium,80 (2007-2016),
4212,Gurkeerat Rupinder Singh,29/06/1990,30 years 128 days,Right Handed,Right Arm Off Break,3 (2016-2016),
4064,Rishi Dhawan,19/02/1990,30 years 259 days,Right Handed,Right Arm Medium Fast,3 (2016-2016),
4511,Scott M Boland,11/04/1989,31 years 207 days,Right Handed,Right Arm Fast Medium,14 (2016-2016),
0777,Thomas G Hogan,23/09/1956,64 years 42 days,Right Handed,Left Arm Orthodox,16 (1983-1984),
1056,John N Maguire,15/09/1956,64 years 50 days,Right Handed,Right Arm Fast Medium,23 (1983-1984),
1051,Sharma Madan Lal,20/03/1951,69 years 229 days,Right Handed,Right Arm Fast Medium,67 (1974-1987),
2817,Ashok K Patel,06/03/1957,63 years 243 days,Right Handed,Right Arm Off Break,8 (1984-1985),
1322,Ghulam A Parkar,24/10/1955,65 years 11 days,Right Handed,,10 (1982-1984),
2745,Surinder C Khanna,03/06/1956,64 years 154 days,Right Handed,,10 (1979-1984),
1530,Balwinder S Sandhu,03/08/1956,64 years 93 days,Right Handed,Right Arm Medium Fast,22 (1982-1984),
0972,Raman Lamba,02/01/1960,,Right Handed,Right Arm Medium,32 (1986-1989),23/02/1998
1608,Maninder Singh,13/06/1965,55 years 144 days,Right Handed,Left Arm Orthodox,59 (1983-1993),
1562,Gopal Sharma,03/08/1960,60 years 93 days,Right Handed,Right Arm Off Break,11 (1985-1987),
2694,Rajinder S Ghai,12/06/1960,60 years 145 days,Right Handed,Right Arm Medium Fast,6 (1984-1986),
2884,Rudra Pratap Singh,06/01/1965,55 years 303 days,Right Handed,Right Arm Fast Medium,2 (1986-1986),
0854,Ajaysinhji Jadeja,01/02/1971,49 years 277 days,Right Handed,Right Arm Medium,196 (1992-2000),
1978,Nayan R Mongia,19/12/1969,50 years 321 days,Right Handed,,140 (1994-2000),
0908,Vinod G Kambli,18/01/1972,48 years 291 days,Left Handed,Right Arm Off Break,104 (1991-2000),
2107,Debashish S Mohanty,20/07/1976,44 years 107 days,Right Handed,Right Arm Medium,45 (1997-2001),
2132,Gavin R Robertson,28/05/1966,54 years 160 days,Right Handed,Right Arm Off Break,13 (1994-1998),
2259,Rahul L Sanghvi,03/09/1974,46 years 62 days,,,10 (1998-1998),
2247,Vijay Dahiya,10/05/1973,47 years 178 days,Right Handed,,19 (2000-2001),
2245,Zaheer Khan,07/10/1978,42 years 28 days,Right Handed,Left Arm Fast Medium,200 (2000-2012),
2959,Dinesh Mongia,17/04/1977,43 years 201 days,Left Handed,Left Arm Orthodox,57 (2001-2007),
2213,Mohammad Kaif,01/12/1980,39 years 339 days,Right Handed,Right Arm Leg Break,125 (2002-2006),
3035,Pathiv A Patel,09/03/1985,35 years 240 days,Left Handed,,38 (2003-2012),
3352,Munaf M Patel,12/07/1983,37 years 115 days,Right Handed,Right Arm Medium Fast,70 (2006-2011),
3332,Rudra Pratap Singh,06/12/1985,34 years 334 days,Right Handed,Left Arm Medium Fast,58 (2005-2011),
3680,Moises C Henriques,01/02/1987,33 years 277 days,Right Handed,Right Arm Fast Medium,11 (2009-2017),
3719,Graham A Manou,23/04/1979,41 years 195 days,Right Handed,,4 (2009-2009),
3782,Ranganath Vinay Kumar,12/02/1984,36 years 266 days,Right Handed,Right Arm Medium,31 (2010-2013),
4648,Ashton James Turner,25/01/1993,27 years 284 days,Right Handed,Right Arm Off Break,6 (2019-),
4069,Ambati T Rayudu,23/09/1985,35 years 42 days,Right Handed,Right Arm Off Break,55 (2013-),
4542,Rishabh Rajendra Pant,04/10/1997,23 years 31 days,Left Handed,,16 (2018-),
4387,Shreyas S Iyer,06/12/1994,25 years 334 days,Right Handed,Right Arm Leg Break,18 (2017-),
4393,Shardul Narendra Thakur,16/10/1991,29 years 19 days,Right Handed,Right Arm Medium,11 (2017-),
4656,Navdeep Amarjeet Saini,23/11/1992,27 years 347 days,Right Handed,Right Arm Fast,5 (2019-),
1485,Stephen John Rixon,25/02/1954,66 years 253 days,,,6 (1978-1985),
0170,Murray J Bennett,06/10/1956,64 years 29 days,Right Handed,Left Arm Orthodox,8 (1984-1985),
0290,Gegory D Campbell,10/03/1964,56 years 239 days,Right Handed,Right Arm Medium Fast,12 (1989-1990),
1424,Woorkeri V Raman,23/05/1965,55 years 165 days,Left Handed,Left Arm Orthodox,27 (1988-1996),
2652,Vakkadai Biksheswaran Chandrasekhar,21/08/1961,,Right Handed,,7 (1988-1990),15/08/2019
1606,Gursharan Singh,08/03/1963,57 years 241 days,Right Handed,,1 (1990-1990),
1560,Ajay K Sharma,03/04/1964,56 years 215 days,Right Handed,,31 (1988-1993),
1861,Atul S Wassan,23/03/1968,52 years 226 days,Right Handed,Right Arm Fast Medium,9 (1990-1991),
0770,Narendra D Hirwani,18/10/1968,52 years 17 days,Right Handed,Right Arm Leg Break,18 (1988-1992),
2630,Atul C Bedade,24/09/1966,54 years 41 days,Left Handed,Right Arm Medium,13 (1994-1994),
0320,Rajesh K Chauhan,19/12/1966,53 years 321 days,Right Handed,Right Arm Off Break,35 (1993-1997),
0076,Jo Angel,22/04/1968,52 years 196 days,Left Handed,Right Arm Fast,3 (1994-1995),
3383,Jeremy P Bray,30/11/1973,46 years 340 days,Left Handed,,15 (2006-2007),
3388,William K McCallan,27/08/1975,45 years 69 days,Right Handed,Right Arm Off Break,39 (2006-2009),
3387,Dave Langford-Smith,07/12/1976,43 years 333 days,Right Handed,Right Arm Fast Medium,22 (2006-2008),
4327,John Anderson,06/10/1982,38 years 29 days,Right Handed,Right Arm Off Break,8 (2014-2016),
2812,Kennedy O Otieno,11/03/1972,48 years 238 days,Right Handed,,89 (1996-2009),
